Age,Age_Group,Gender,Diet
60,Senior,Male,Low Sodium Diet
59,Adult,Male,High Protein Diet
98,Senior,Female,Low Sodium Diet
98,Senior,Female,Low Sodium Diet
19,Teen,Male,High Energy Diet
18,Teen,Female,High Energy Diet
98,Senior,Female,Low Sodium Diet
26,Adult,Female,Balanced Diet
83,Senior,Female,Low Sodium Diet
58,Adult,Male,High Protein Diet
87,Senior,Male,Low Sodium Diet
56,Adult,Male,High Protein Diet
83,Senior,Female,Low Sodium Diet
69,Senior,Male,Low Sodium Diet
81,Senior,Male,Low Sodium Diet
90,Senior,Male,Low Sodium Diet
35,Adult,Female,Balanced Diet
70,Senior,Male,Low Sodium Diet
46,Adult,Female,Balanced Diet
44,Adult,Male,High Protein Diet
67,Senior,Male,Low Sodium Diet
15,Teen,Male,High Energy Diet
78,Senior,Female,Low Sodium Diet
55,Adult,Female,Balanced Diet
15,Teen,Female,High Energy Diet
98,Senior,Female,Low Sodium Diet
27,Adult,Female,Balanced Diet
33,Adult,Male,High Protein Diet
88,Senior,Male,Low Sodium Diet
70,Senior,Female,Low Sodium Diet
5,Child,Male,Growth Diet
39,Adult,Female,Balanced Diet
29,Adult,Male,High Protein Diet
49,Adult,Female,Balanced Diet
87,Senior,Male,Low Sodium Diet
69,Senior,Female,Low Sodium Diet
1,Child,Female,Growth Diet
67,Senior,Male,Low Sodium Diet
32,Adult,Female,Balanced Diet
87,Senior,Female,Low Sodium Diet
4,Child,Female,Growth Diet
57,Adult,Female,Balanced Diet
14,Teen,Male,High Energy Diet
55,Adult,Female,Balanced Diet
63,Senior,Female,Low Sodium Diet
48,Adult,Male,High Protein Diet
80,Senior,Female,Low Sodium Diet
68,Senior,Male,Low Sodium Diet
75,Senior,Female,Low Sodium Diet
87,Senior,Male,Low Sodium Diet
73,Senior,Female,Low Sodium Diet
51,Adult,Female,Balanced Diet
27,Adult,Female,Balanced Diet
23,Adult,Male,High Protein Diet
3,Child,Female,Growth Diet
83,Senior,Male,Low Sodium Diet
50,Adult,Male,High Protein Diet
6,Child,Female,Growth Diet
2,Child,Male,Growth Diet
12,Child,Male,Growth Diet
12,Child,Female,Growth Diet
57,Adult,Female,Balanced Diet
88,Senior,Female,Low Sodium Diet
52,Adult,Female,Balanced Diet
30,Adult,Male,High Protein Diet
43,Adult,Female,Balanced Diet
87,Senior,Male,Low Sodium Diet
14,Teen,Female,High Energy Diet
36,Adult,Male,High Protein Diet
62,Senior,Female,Low Sodium Diet
11,Child,Male,Growth Diet
